ax (m/s^2),ay (m/s^2),az (m/s^2)
2.3185,-1.1274,2.3254
3.0516,1.323,0.8065
6.3024,-4.9639,2.4577
1.8235,-0.8169,2.0988
0.6747,-1.3973,-1.4631
2.7081,1.7824,-0.4866
1.446,-1.8327,-0.1345
3.1149,-3.2075,2.9973
2.7473,-0.2901,-1.5674
0.3213,1.8569,-1.6733
-1.1542,-0.3174,0.1474
5.1984,-4.5017,1.5298
-0.391,-1.6339,0.5357
1.7642,0.2388,1.4142
-1.1229,-1.7364,0.827
0.5262,-3.1627,-2.647
-2.256,0.5133,-0.609
-1.8439,-1.8118,-0.3524
4.5623,-4.8002,2.1308
-1.19,0.1024,-1.6538
-0.572,0.7768,-1.357
0.3123,-3.099,3.186
-2.2974,2.2976,0.8766
-3.2293,-3.0035,0.6926
-2.7917,2.2255,-0.09
3.3513,3.7051,3.8222
-2.6256,-0.3664,1.9969
2.8504,-2.9655,-0.2651
-0.1385,-1.958,0.5702
-1.5344,-0.081,-1.6134
5.4299,-4.28,0.7434
5.5683,-3.3869,0.346
-1.7009,-0.0037,-2.7188
-2.1849,-0.2466,2.0889
1.1725,-1.651,-0.5598
3.8089,-2.8391,0.7818
-1.8741,-0.6411,-0.9196
4.8151,-4.6953,2.6327
-2.2516,-2.084,-0.8338
1.5618,-3.9751,3.3652
3.8007,-2.7539,0.4417
0.704,-1.5415,0.0941
1.8185,-1.8469,2.4417
-1.4902,0.9433,0.2861
-1.4325,-1.2954,-2.685
-2.6606,-2.349,-0.2529
-3.9445,-1.4788,0.1856
5.3327,2.212,-0.2178
-0.8336,1.6645,-0.8768
-0.2376,-2.9987,-0.0955
3.2945,3.6938,4.9869
2.5894,-0.4713,4.1685
3.5673,-0.6731,1.9275
0.7919,-0.6448,-1.1206
-1.5021,0.371,-1.9207
1.3433,-2.4847,3.523
0.454,-0.5627,1.303
3.3039,-3.921,1.5951
-0.6255,-0.9376,2.7073
-1.638,-1.4467,0.3569
0.6823,-0.5267,-2.0691
3.668,-2.1501,3.2582
-0.3984,0.1338,-1.4438
0.0005,0.8707,2.6195
-0.3076,-0.4049,-1.4393
-0.2008,-2.4395,-1.5707
-3.654,-1.7299,-0.8988
-0.1713,-1.5521,1.8207
-0.1411,-2.1271,-1.4783
1.1012,-0.0731,-1.5085
2.125,-3.1754,2.2652
3.6558,1.7984,-1.6852
-2.0604,-1.8068,-1.5918
2.9587,1.2922,4.1219
-2.0544,-1.6618,1.9055
-2.4478,0.5952,1.1552
-1.1384,1.3766,0.0193
0.4618,1.8867,-0.4234
-4.0117,1.8191,-1.3118
-1.78,0.0211,-1.5007
-1.5921,0.5101,-3.2175
2.2158,-2.3424,-0.3794
2.9252,-5.1123,3.0224
4.3287,-3.4096,1.1649
-0.1007,0.6023,6.3005
-1.6335,0.4152,1.4348
-0.8961,-1.4169,-1.767
2.7972,-0.4621,-0.7472
-1.1529,-0.5168,-0.7053
1.402,-1.6656,-0.8029
-0.1564,-1.8984,1.7275
-2.0749,0.9479,0.1024
-1.5381,2.1613,-0.9689
-4.6056,1.642,-0.7576
-1.8825,1.9268,-0.5847
-0.6004,-0.3042,-3.6567
-0.3172,0.952,-0.0572
1.107,-2.6041,2.6794
-3.2402,1.31,1.508
4.3905,-4.0386,6.7524
0.4494,1.1101,1.1937
0.5207,-1.6065,1.49
-0.9505,-1.0331,2.1517
-4.3152,-1.7006,0.222
2.1726,0.766,-1.4157
-0.4535,0.3515,0.0297
-0.5111,-1.6631,-1.1571
-2.5595,-0.8399,-1.1727
-3.0018,0.0849,-0.8717
2.7397,-1.144,2.5768
1.223,-2.2771,2.3882
0.5887,-1.4294,-2.1537
1.2296,2.1045,-0.6592
0.661,-0.697,-1.2509
-2.2727,1.2904,0.2243
-0.7068,1.4483,-0.2194
-0.2995,-2.3668,1.9761
-0.1154,0.8201,-1.6554
-1.0071,-2.0187,2.2051
3.889,0.1415,4.8414
0.3115,0.8152,1.618
-1.464,0.8834,0.6877
4.8339,2.5648,3.154
2.0246,0.3484,1.714
-2.1744,-0.4367,1.4345
-2.3977,-0.0579,-0.1868
-0.5224,-0.9998,3.1321
3.0456,-2.4708,1.1877
-0.0735,-1.6046,3.8184
4.3441,-5.1787,2.6817
-1.6146,2.2583,-1.9148
-0.702,0.4381,-0.5778
-2.1374,-0.127,-1.2598
-1.305,-1.7066,1.1524
-1.1626,2.1059,1.902
-5.6914,-1.239,-1.2255
-4.0759,0.7548,-1.4025
1.0953,0.474,2.7656
-0.3239,0.4211,0.7682
4.4963,-3.1944,1.3812
0.3678,0.3376,-0.6667
-3.5278,0.5819,-0.1488
-3.9778,-0.1849,-0.3084
3.9933,0.0558,1.3121
1.0806,2.034,0.5862
